url,size_kb,total_s,speed_kbps
events,2882081,2.951673,976422
events,2882081,3.604623,799551
events,2882081,2.175410,1324844
events,2882081,1.866887,1543789
events,2882081,1.913785,1505958
events,2882081,1.987801,1449884
events,2882081,2.840813,1014526
events,2882081,1.882612,1530894
events,2882081,1.903132,1514388
events,2882081,2.039367,1413223
goalserve_nba,190,2.296439,82
goalserve_nba,190,1.945418,97
goalserve_nba,190,1.457673,130
goalserve_nba,190,2.185881,86
goalserve_nba,190,3.346659,56
goalserve_nba_proxy,190,2.140533,88
goalserve_nba_proxy,190,1.734611,109
goalserve_nba_proxy,190,1.632999,116
goalserve_nba_proxy,190,8.009192,23
goalserve_nba_proxy,190,1.692566,112
