idx,ts_unix,http_code,dns_ms,connect_ms,appconnect_ms,starttransfer_ms,total_ms,size_down,speed_down_bps
1,1779942461,200,0.10,0.24,1086.25,2257.98,2258.15,190,84
2,1779942463,200,0.10,0.25,1025.67,1708.15,1708.32,190,111
3,1779942468,200,0.18,0.39,1312.31,4596.56,4596.82,190,41
4,1779942471,200,0.12,0.36,1033.55,1830.51,1830.69,190,103
5,1779942473,200,0.15,0.36,1047.13,1505.79,1505.96,190,126
6,1779942475,200,0.05,0.21,1041.84,1477.33,1477.38,190,128
7,1779942477,200,0.06,0.21,1002.95,1424.02,1424.18,190,133
8,1779942479,200,0.12,0.34,1042.57,1481.37,1481.61,190,128
9,1779942483,200,0.10,0.34,1318.82,2818.47,2818.72,190,67
10,1779942485,200,0.09,0.28,1058.09,1754.23,1754.41,190,108
11,1779942488,200,0.12,0.33,1105.69,2295.43,2295.63,190,82
12,1779942491,200,0.10,0.23,1476.93,1958.13,1958.35,190,97
13,1779942493,200,0.10,0.27,1053.81,1568.35,1568.60,190,121
14,1779942495,200,0.09,0.30,1063.38,1529.22,1529.37,190,124
15,1779942502,200,0.07,0.24,1105.71,6412.97,6413.10,190,29
16,1779942505,200,0.09,0.23,1401.73,1822.09,1822.28,190,104
17,1779942509,200,0.05,0.19,1018.09,3961.25,3961.43,190,47
18,1779942512,200,0.06,0.22,1379.42,1819.39,1819.43,190,104
19,1779942516,200,0.05,0.20,1038.88,3703.16,3703.25,190,51
20,1779942518,200,0.11,0.31,1027.69,1607.58,1607.83,190,118
21,1779942521,200,0.10,0.25,1277.51,1737.71,1737.93,190,109
22,1779942523,200,0.10,0.30,1043.64,1547.34,1547.55,190,122
23,1779942525,200,0.11,0.27,1067.61,1837.74,1837.96,190,103
24,1779942528,200,0.14,0.29,1001.62,1702.86,1703.09,190,111
25,1779942530,200,0.11,0.32,1251.63,1682.95,1683.23,190,112
26,1779942535,200,0.12,0.30,1009.98,4166.80,4166.88,190,45
27,1779942539,200,0.13,0.34,1662.59,3240.11,3240.31,190,58
28,1779942541,200,0.13,0.30,1047.36,1735.20,1735.30,190,109
29,1779942543,200,0.12,0.37,1067.70,1498.50,1498.57,190,126
30,1779942546,200,0.10,0.34,1093.29,1890.99,1891.19,190,100
