idx,ts_unix,http_code,dns_ms,connect_ms,appconnect_ms,starttransfer_ms,total_ms,size_down,speed_down_bps
1,1779942811,200,0.07,0.25,1373.53,3299.92,3300.01,190,57
2,1779942813,200,0.11,0.37,1372.40,1922.34,1922.46,190,98
3,1779942819,200,0.09,0.28,1250.55,5627.10,5627.17,190,33
4,1779942827,200,0.12,0.30,2360.55,7414.59,7414.72,190,25
5,1779942836,200,0.11,0.28,1310.42,8138.56,8138.74,190,23
6,1779942842,200,0.12,0.29,982.27,5313.51,5313.72,190,35
7,1779942845,200,0.11,0.28,1402.19,2440.06,2440.29,190,77
8,1779942847,200,0.07,0.24,1034.37,1467.36,1467.47,190,129
9,1779942852,200,0.09,0.20,1039.42,3453.98,3454.31,190,55
10,1779942854,200,0.17,0.41,1053.58,1546.25,1546.60,190,122
11,1779942856,200,0.08,0.26,1067.46,1563.79,1564.10,190,121
12,1779942859,200,0.12,0.38,1372.55,2502.98,2503.26,190,75
13,1779942865,200,0.09,0.24,1059.56,5047.58,5047.81,190,37
14,1779942867,200,0.16,0.47,1027.42,1474.81,1474.88,190,128
15,1779942870,200,0.12,0.36,1026.24,1954.06,1954.22,190,97
16,1779942872,200,0.12,0.32,1282.81,2032.95,2033.23,190,93
17,1779942875,200,0.11,0.28,1050.26,1880.82,1881.04,190,101
18,1779942877,200,0.10,0.27,1360.21,1901.45,1901.60,190,99
19,1779942880,200,0.11,0.27,1019.93,1521.50,1521.59,190,124
20,1779942884,200,0.13,0.35,1264.83,3399.20,3399.46,190,55
21,1779942886,200,0.09,0.24,1505.03,1914.25,1914.49,190,99
22,1779942888,200,0.12,0.30,1205.30,1643.80,1644.05,190,115
23,1779942891,200,0.11,0.28,1337.19,1816.66,1816.92,190,104
24,1779942893,200,0.10,0.31,982.80,1716.47,1716.65,190,110
25,1779942895,200,0.11,0.26,983.14,1438.72,1438.82,190,132
26,1779942897,200,0.12,0.35,1047.97,1439.77,1439.86,190,131
27,1779942900,200,0.11,0.28,1062.34,1473.23,1473.39,190,128
28,1779942902,200,0.12,0.28,1175.24,1709.77,1709.85,190,111
29,1779942905,200,0.11,0.26,977.77,2109.64,2109.91,190,90
30,1779942908,200,0.12,0.29,1304.11,2222.31,2222.48,190,85
