idx,ts_unix,http_code,dns_ms,connect_ms,appconnect_ms,starttransfer_ms,total_ms,size_down,speed_down_bps
1,1779942549,200,0.10,0.33,1393.71,2303.36,2449.52,21113,8619
2,1779942552,200,0.08,0.25,1471.25,2552.40,2793.78,21113,7557
3,1779942558,200,0.09,0.29,3355.59,4774.25,4774.57,21113,4421
4,1779942561,200,0.11,0.37,1399.03,2151.02,2588.72,21113,8155
5,1779942566,200,0.10,0.32,2753.35,4516.57,4838.06,21113,4363
6,1779942570,200,0.10,0.28,1876.21,2644.27,2644.59,21113,7983
7,1779942574,200,0.11,0.28,1672.73,2760.69,3217.89,21113,6561
8,1779942578,200,0.10,0.32,2369.01,3071.30,3520.64,21113,5996
9,1779942586,200,0.14,0.36,1337.33,7179.82,7193.36,21113,2935
10,1779942594,200,0.05,0.21,1057.92,7644.59,7644.97,21113,2761
11,1779942597,200,0.07,0.20,1056.84,1895.50,1895.78,21113,11136
12,1779942600,200,0.11,0.23,1380.71,2120.47,2731.03,21113,7730
13,1779942603,200,0.13,0.30,1307.22,2294.73,2429.60,21113,8689
14,1779942605,200,0.09,0.20,1058.19,1593.96,1730.96,21113,12197
15,1779942621,200,0.09,0.29,1373.34,14988.04,15003.27,16384,1092000,0,0,0,0,0,0,0
16,1779942632,200,0.10,0.35,1282.56,10163.53,10242.53,21113,2061
17,1779942634,200,0.09,0.27,1313.83,1738.30,1871.19,21113,11283
18,1779942637,200,0.08,0.19,1013.46,1778.08,1778.39,21113,11871
19,1779942642,200,0.10,0.26,1023.86,4812.03,4954.82,21113,4261
20,1779942652,200,0.09,0.20,1094.20,8697.75,9217.64,21113,2290
21,1779942657,200,0.07,0.24,1055.91,3532.96,3533.49,21113,5975
22,1779942659,200,0.12,0.40,1307.11,1830.95,1980.12,21113,10662
23,1779942671,200,0.12,0.31,1100.53,10558.86,10726.28,21113,1968
24,1779942676,200,0.08,0.27,2657.49,5095.96,5245.31,21113,4025
25,1779942682,200,0.12,0.33,1004.95,5032.77,5033.16,21113,4194
26,1779942685,200,0.08,0.25,1330.06,1905.72,2048.50,21113,10306
27,1779942687,200,0.11,0.28,1041.66,1490.58,1685.61,21113,12525
28,1779942690,200,0.11,0.28,1397.70,2320.31,2473.97,21113,8534
29,1779942693,200,0.12,0.29,1003.23,1454.46,1586.03,21113,13311
30,1779942696,200,0.12,0.33,1016.46,2698.92,2884.54,21113,7319
