idx,ts_unix,http_code,dns_ms,connect_ms,appconnect_ms,starttransfer_ms,total_ms,size_down,speed_down_bps
1,1779942353,200,0.05,0.22,975.85,1394.53,1394.62,276,197
2,1779942362,200,0.13,0.28,1127.47,8516.10,8516.39,276,32
3,1779942365,200,0.07,0.24,1418.77,1914.38,1914.64,276,144
4,1779942367,200,0.10,0.27,1080.90,1824.26,1824.36,276,151
5,1779942370,200,0.18,0.52,1054.04,1828.46,1828.76,276,150
6,1779942372,200,0.12,0.37,1078.83,2002.12,2002.29,276,137
7,1779942379,200,0.14,0.36,1055.95,5709.20,5709.29,276,48
8,1779942381,200,0.08,0.28,1366.31,1896.24,1896.44,276,145
9,1779942383,200,0.05,0.20,1067.35,1563.73,1563.91,276,176
10,1779942386,200,0.11,0.32,1103.12,1539.85,1539.96,276,179
11,1779942388,200,0.07,0.24,1155.92,1603.33,1603.48,276,172
12,1779942390,200,0.10,0.36,1130.91,1565.86,1566.00,276,176
13,1779942393,200,0.07,0.23,1412.96,1898.55,1898.67,276,145
14,1779942395,200,0.07,0.24,1407.36,1901.52,1901.81,276,145
15,1779942397,200,0.09,0.24,1311.55,1754.57,1754.81,276,157
16,1779942400,200,0.85,1.10,1032.70,1561.18,1561.30,276,176
17,1779942407,200,0.10,0.27,1073.61,7134.77,7134.85,276,38
18,1779942410,200,0.12,0.30,1216.61,2302.58,2302.73,276,119
19,1779942413,200,0.15,0.37,1332.14,1778.90,1779.00,276,155
20,1779942415,200,0.09,0.28,1005.19,1715.77,1715.92,276,160
21,1779942418,200,0.12,0.33,1330.18,1899.68,1899.94,276,145
22,1779942420,200,0.09,0.29,999.59,1568.30,1568.56,276,175
23,1779942423,200,0.12,0.32,1453.91,2282.15,2282.38,276,120
24,1779942431,200,0.14,0.37,1233.72,7023.73,7023.98,276,39
25,1779942440,200,0.11,0.34,7051.51,8198.44,8198.62,276,33
26,1779942442,200,0.14,0.38,1621.54,2270.57,2270.82,276,121
27,1779942449,200,0.12,0.24,1026.52,6386.06,6386.21,276,43
28,1779942453,200,0.10,0.31,1600.85,2545.22,2545.50,276,108
29,1779942455,200,0.10,0.27,1297.49,1720.10,1720.26,276,160
30,1779942458,200,0.09,0.22,1001.09,1930.84,1931.01,276,142
