idx,ts_unix,http_code,dns_ms,connect_ms,appconnect_ms,starttransfer_ms,total_ms,size_down,speed_down_bps
1,1779942910,200,0.11,0.33,1010.14,1434.61,1434.74,276,192
2,1779942912,200,0.13,0.42,1121.41,1565.37,1565.58,276,176
3,1779942919,200,0.19,0.32,1010.25,6169.89,6170.16,276,44
4,1779942922,200,0.09,0.27,1058.29,3026.84,3027.02,276,91
5,1779942926,200,0.19,0.40,1711.39,2794.94,2795.21,276,98
6,1779942929,200,0.11,0.35,1333.16,2418.88,2419.02,276,114
7,1779942932,200,0.12,0.35,1386.87,2691.89,2692.04,276,102
8,1779942935,200,0.13,0.31,1557.05,2043.66,2043.96,276,135
9,1779942937,200,0.07,0.24,1009.38,1436.17,1436.42,276,192
10,1779942940,200,0.10,0.30,1307.63,2024.67,2024.91,276,136
11,1779942943,200,0.14,0.36,1326.22,2095.03,2095.18,276,131
12,1779942945,200,0.08,0.23,1320.97,1753.42,1753.70,276,157
13,1779942950,200,0.11,0.34,1031.20,4166.64,4166.88,276,66
14,1779942952,200,0.11,0.32,1128.90,1583.23,1583.54,276,174
15,1779942960,200,0.11,0.26,1020.62,6853.73,6853.89,276,40
16,1779942965,200,0.08,0.29,1088.86,5073.13,5073.38,276,54
17,1779942974,200,0.16,0.34,1434.83,7859.99,7860.25,276,35
18,1779942977,200,0.10,0.31,1411.00,2170.58,2170.74,276,127
19,1779942979,200,0.10,0.25,1001.23,1421.72,1421.85,276,194
20,1779942984,200,0.10,0.32,1299.86,4359.42,4359.60,276,63
21,1779942986,200,0.10,0.26,1595.67,1997.94,1998.18,276,138
22,1779942988,200,0.10,0.35,999.58,1413.43,1413.61,276,195
23,1779942991,200,0.14,0.34,1489.10,1992.42,1992.54,276,138
24,1779942994,200,0.10,0.26,1289.21,1980.91,1981.14,276,139
25,1779942996,200,0.10,0.24,1030.17,1798.18,1798.34,276,153
26,1779942999,200,0.07,0.18,1150.79,1887.28,1887.47,276,146
27,1779943001,200,0.10,0.28,1057.46,1525.36,1525.64,276,180
28,1779943003,200,0.12,0.33,1009.87,1419.00,1419.17,276,194
29,1779943005,200,0.12,0.35,1047.57,1470.96,1471.01,276,187
30,1779943008,200,0.09,0.23,1442.41,2213.56,2213.66,276,124
