idx,ts_unix,http_code,dns_ms,connect_ms,appconnect_ms,starttransfer_ms,total_ms,size_down,speed_down_bps
1,1779942697,200,0.13,0.37,390.90,699.11,699.39,229,327
2,1779942699,200,0.13,0.28,657.47,958.74,958.91,229,238
3,1779942701,200,0.13,0.34,727.17,1024.22,1024.50,229,223
4,1779942703,200,0.12,0.34,788.74,1146.48,1146.62,229,199
5,1779942704,200,0.10,0.27,501.88,938.57,938.84,229,243
6,1779942706,200,0.12,0.32,367.27,656.27,1088.33,229,210
7,1779942708,200,0.11,0.30,664.53,961.61,961.76,229,238
8,1779942709,200,0.11,0.29,641.89,934.01,934.31,229,245
9,1779942710,200,0.07,0.26,388.95,690.74,691.04,229,331
10,1779942712,200,0.09,0.25,354.53,654.84,654.90,229,349
11,1779942713,200,0.12,0.33,364.61,955.99,956.17,229,239
12,1779942715,200,0.10,0.27,510.28,877.93,878.20,229,260
13,1779942716,200,0.11,0.29,379.71,670.74,671.05,229,341
14,1779942718,200,0.07,0.21,355.83,651.58,653.61,229,350
15,1779942719,200,0.12,0.32,483.69,839.10,839.28,229,272
16,1779942721,200,0.09,0.24,744.79,1095.51,1095.62,229,209
17,1779942722,200,0.10,0.26,361.35,672.28,672.45,229,340
18,1779942724,200,0.12,0.34,619.64,908.63,1248.20,229,183
19,1779942726,200,0.13,0.38,471.03,818.36,818.74,229,279
20,1779942727,200,0.14,0.38,344.08,632.61,632.96,229,361
21,1779942728,200,0.10,0.39,365.85,676.90,677.17,229,338
22,1779942730,200,0.13,0.35,361.40,656.09,656.46,229,348
23,1779942731,200,0.12,0.40,478.29,838.49,838.76,229,273
24,1779942732,200,0.14,0.38,354.36,655.85,656.19,229,348
25,1779942734,200,0.11,0.36,701.35,998.08,998.21,229,229
26,1779942736,200,0.11,0.28,368.03,963.69,964.05,229,237
27,1779942737,200,0.12,0.34,349.49,640.89,949.51,229,241
28,1779942740,200,0.14,0.38,1492.05,2145.47,2145.82,229,106
29,1779942741,200,0.16,0.38,353.50,653.61,653.88,229,350
30,1779942743,200,0.11,0.27,479.00,855.69,856.00,229,267
