idx,ts_unix,http_code,dns_ms,connect_ms,appconnect_ms,starttransfer_ms,total_ms,size_down,speed_down_bps
1,1779942744,401,0.09,0.23,606.92,902.55,902.79,101,111
2,1779942746,401,0.16,0.39,763.22,1119.59,1124.09,101,89
3,1779942748,401,0.09,0.25,350.61,639.52,639.83,101,157
4,1779942749,401,0.10,0.26,356.55,641.87,642.23,101,157
5,1779942750,401,0.12,0.31,651.82,941.20,941.46,101,107
6,1779942752,401,0.15,0.32,340.96,630.86,631.07,101,160
7,1779942753,401,0.11,0.27,685.03,973.72,974.09,101,103
8,1779942755,401,0.10,0.25,352.71,647.34,965.24,101,104
9,1779942757,401,0.16,0.33,688.51,988.81,989.16,101,102
10,1779942758,401,0.08,0.28,673.24,967.52,967.74,101,104
11,1779942760,401,0.11,0.28,651.75,1264.85,1265.03,101,79
12,1779942763,401,0.07,0.21,1017.06,1641.32,1641.61,101,61
13,1779942764,401,0.05,0.20,656.28,977.71,977.96,101,103
14,1779942766,401,0.09,0.26,773.03,1081.50,1081.61,101,93
15,1779942768,401,0.11,0.27,653.41,1266.76,1267.03,101,79
16,1779942769,401,0.10,0.25,372.24,678.86,679.12,101,148
17,1779942771,401,0.17,0.41,669.39,1286.27,1286.56,101,78
18,1779942773,401,0.11,0.28,644.67,1401.39,1401.51,101,72
19,1779942775,401,0.12,0.29,369.50,973.64,974.03,101,103
20,1779942777,401,0.14,0.37,368.22,671.65,1183.83,101,85
21,1779942778,401,0.11,0.27,361.86,944.54,944.72,101,106
22,1779942780,401,0.14,0.36,376.67,671.00,671.32,101,150
23,1779942782,401,0.10,0.26,932.33,1238.14,1238.47,101,81
24,1779942783,401,0.14,0.35,351.38,653.18,653.48,101,154
25,1779942784,401,0.09,0.25,344.24,643.53,643.75,101,156
26,1779942785,401,0.10,0.33,348.12,632.54,632.78,101,159
27,1779942787,401,0.11,0.28,385.44,677.75,678.05,101,148
28,1779942788,401,0.10,0.26,354.44,637.83,638.08,101,158
29,1779942789,401,0.11,0.38,371.86,661.70,662.03,101,152
30,1779942791,401,0.10,0.34,360.54,641.52,641.78,101,157
