idx,ts_unix,http_code,dns_ms,connect_ms,appconnect_ms,starttransfer_ms,total_ms,size_down,speed_down_bps
1,1779942240,404,0.10,0.32,374.02,913.09,913.22,59,64
2,1779942242,404,0.10,0.28,380.57,1060.13,1060.52,59,55
3,1779942244,404,0.11,0.41,507.58,1170.29,1170.48,59,50
4,1779942245,404,0.10,0.29,658.80,1190.56,1190.75,59,49
5,1779942247,404,0.14,0.37,604.86,1289.54,1289.85,59,45
6,1779942249,404,0.11,0.28,346.26,874.29,874.53,59,67
7,1779942251,404,0.17,0.43,690.49,1237.03,1237.29,59,47
8,1779942252,404,0.12,0.37,338.44,873.75,881.23,59,66
9,1779942254,404,0.12,0.33,343.25,873.39,873.60,59,67
10,1779942255,404,0.11,0.37,366.51,880.56,880.81,59,66
11,1779942257,404,0.14,0.31,598.76,1109.04,1109.28,59,53
12,1779942259,404,0.13,0.38,358.80,884.55,884.61,59,66
13,1779942260,404,0.10,0.33,368.37,893.33,893.42,59,66
14,1779942262,404,0.05,0.16,350.11,927.10,927.16,59,63
15,1779942263,404,0.09,0.27,363.83,878.01,878.19,59,67
16,1779942265,404,0.12,0.28,363.75,875.16,875.40,59,67
17,1779942266,404,0.09,0.24,343.81,883.92,884.15,59,66
18,1779942268,404,0.05,0.20,339.31,885.80,886.19,59,66
19,1779942270,404,0.07,0.17,343.33,890.26,890.35,59,66
20,1779942271,404,0.13,0.35,356.97,887.70,887.94,59,66
21,1779942273,404,0.10,0.25,378.70,1177.46,1177.80,59,50
22,1779942275,404,0.10,0.26,398.38,957.18,957.26,59,61
23,1779942276,404,0.13,0.32,373.01,908.81,909.11,59,64
24,1779942278,404,0.04,0.16,377.27,926.99,927.25,59,63
25,1779942279,404,0.11,0.26,404.78,934.45,934.57,59,63
26,1779942281,404,0.05,0.20,371.53,1206.29,1206.37,59,48
27,1779942283,404,0.07,0.25,602.23,1424.80,1424.91,59,41
28,1779942285,404,0.08,0.23,656.65,1212.39,1212.45,59,48
29,1779942287,404,0.06,0.20,664.13,1214.99,1215.10,59,48
30,1779942288,404,0.09,0.24,369.91,989.86,989.98,59,59
