idx,ts_unix,http_code,dns_ms,connect_ms,appconnect_ms,starttransfer_ms,total_ms,size_down,speed_down_bps
1,1779942087,200,0.09,0.33,612.65,914.15,1631.17,1823307,1117793
2,1779942091,200,0.12,0.32,688.73,993.88,3627.15,1823307,502682
3,1779942094,200,0.12,0.42,361.81,661.03,2558.67,1823307,712598
4,1779942098,200,0.10,0.27,652.29,968.37,2654.46,1823307,686885
5,1779942100,200,0.10,0.33,384.64,713.27,2284.16,1823307,798240
6,1779942104,200,0.14,0.46,653.46,1009.54,2461.42,1823307,740753
7,1779942107,200,0.12,0.33,680.59,1013.68,2656.10,1823307,686460
8,1779942110,200,0.11,0.28,385.11,692.85,1951.11,1823307,934498
9,1779942113,200,0.09,0.38,634.15,1239.52,2354.32,1823307,774453
10,1779942116,200,0.10,0.34,392.95,706.93,3021.59,1823307,603426
11,1779942119,200,0.13,0.36,371.39,714.53,1829.50,1823307,996614
12,1779942121,200,0.12,0.31,370.14,968.38,1909.88,1823307,954669
13,1779942125,200,0.11,0.31,695.66,1014.87,3114.12,1823307,585496
14,1779942128,200,0.12,0.32,377.33,721.08,2129.93,1823307,856042
15,1779942130,200,0.12,0.33,378.39,950.65,1882.00,1823307,968814
16,1779942133,200,0.12,0.29,385.23,696.70,1952.16,1823307,933992
17,1779942136,200,0.19,0.46,366.08,668.72,1904.89,1823307,957170
18,1779942138,200,0.12,0.40,643.48,935.59,1954.22,1823307,933012
19,1779942141,200,0.10,0.27,676.77,970.31,2032.27,1823307,897175
20,1779942144,200,0.12,0.34,360.07,1200.19,2250.89,1823307,810037
21,1779942147,200,0.14,0.32,358.38,663.36,2460.01,1823307,741179
22,1779942150,200,0.11,0.29,347.43,646.27,2280.12,1823307,799652
23,1779942153,200,0.11,0.27,676.48,991.48,2098.93,1823307,868686
24,1779942155,200,0.11,0.27,340.67,637.57,1550.07,1823307,1176273
25,1779942157,200,0.10,0.29,350.39,643.49,1665.32,1823307,1094871
26,1779942159,200,0.07,0.24,367.07,666.52,1602.81,1823307,1137569
27,1779942161,200,0.10,0.34,349.64,642.71,1440.23,1823307,1265985
28,1779942164,200,0.11,0.30,617.48,901.79,1799.73,1823307,1013099
29,1779942167,200,0.10,0.26,350.20,635.23,2272.80,1823307,802229
30,1779942169,200,0.10,0.35,358.12,783.43,1611.38,1823307,1131520
