idx,ts_unix,http_code,dns_ms,connect_ms,appconnect_ms,starttransfer_ms,total_ms,size_down,speed_down_bps
1,1779942172,200,0.11,0.38,442.24,730.96,2081.78,582422,279771
2,1779942174,200,0.13,0.43,602.26,885.17,1491.08,582422,390604
3,1779942176,200,0.16,0.40,621.38,923.09,1519.16,582422,383384
4,1779942178,200,0.12,0.33,353.01,643.25,1205.06,582422,483312
5,1779942180,200,0.11,0.38,593.19,891.59,1508.81,582422,386014
6,1779942182,200,0.11,0.28,327.78,642.77,1056.49,582422,551277
7,1779942184,200,0.12,0.29,609.77,1168.96,1513.91,582422,384712
8,1779942186,200,0.12,0.38,348.25,650.51,1258.27,582422,462874
9,1779942188,200,0.11,0.27,648.59,948.59,1604.66,582422,362955
10,1779942190,200,0.10,0.32,358.93,663.49,1230.83,582422,473193
11,1779942192,200,0.09,0.22,348.78,651.48,1262.76,582422,461228
12,1779942194,200,0.14,0.33,351.69,643.36,966.22,582422,602785
13,1779942196,200,0.10,0.38,750.84,1327.58,1991.48,582416,292453
14,1779942199,200,0.11,0.28,683.08,979.71,1452.03,582416,401104
15,1779942201,200,0.10,0.27,423.87,718.70,1691.66,582416,344287
16,1779942203,200,0.09,0.24,640.89,947.73,1633.01,582416,356650
17,1779942205,200,0.09,0.27,333.74,660.34,1227.43,582416,474499
18,1779942207,200,0.09,0.31,347.57,661.28,1684.21,582416,345808
19,1779942209,200,0.10,0.26,366.77,670.78,1326.22,582416,439155
20,1779942211,200,0.10,0.27,359.23,656.42,1506.47,582416,386610
21,1779942213,200,0.10,0.34,371.77,667.25,1269.86,582416,458645
22,1779942216,200,0.10,0.32,675.82,994.53,2065.07,582416,282031
23,1779942219,200,0.12,0.32,759.40,1080.33,2462.68,582416,236496
24,1779942222,200,0.10,0.35,372.69,978.00,1676.51,582416,347398
25,1779942224,200,0.11,0.38,632.57,957.85,1716.70,582416,339265
26,1779942227,200,0.13,0.34,693.93,1018.66,1993.86,582416,292105
27,1779942229,200,0.11,0.27,736.91,1284.32,2026.20,582416,287441
28,1779942231,200,0.14,0.30,364.08,698.66,1445.12,582416,403023
29,1779942235,200,0.06,0.20,355.86,663.27,2591.22,582416,224764
30,1779942237,200,0.13,0.34,365.29,959.55,1387.49,582416,419761
