idx,ts_unix,http_code,dns_ms,connect_ms,appconnect_ms,starttransfer_ms,total_ms,size_down,speed_down_bps
1,1779942290,200,0.10,0.22,372.70,907.48,907.57,2,2
2,1779942294,200,0.05,0.20,2171.48,3466.93,3467.23,2,0
3,1779942298,200,0.11,0.35,1682.39,3024.03,3024.17,2,0
4,1779942301,200,0.11,0.30,1832.92,2591.69,2591.97,2,0
5,1779942304,200,0.12,0.26,1113.44,2156.59,2157.03,2,0
6,1779942306,200,0.15,0.31,471.18,1431.58,1431.65,2,1
7,1779942308,200,0.07,0.23,498.19,1408.07,1408.32,2,1
8,1779942310,200,0.11,0.26,381.11,1034.31,1034.44,2,1
9,1779942311,200,0.10,0.23,488.21,887.85,888.05,2,2
10,1779942313,200,0.08,0.26,339.77,724.62,724.78,2,2
11,1779942315,200,0.05,0.20,862.82,1637.64,1637.91,2,1
12,1779942317,200,0.06,0.25,780.22,1480.00,1480.05,2,1
13,1779942318,200,0.09,0.28,430.64,804.02,804.26,2,2
14,1779942320,200,0.11,0.26,357.48,652.87,654.81,2,3
15,1779942321,200,0.07,0.17,369.97,686.55,686.75,2,2
16,1779942323,200,0.08,0.19,367.43,1075.62,1075.95,2,1
17,1779942324,200,0.07,0.17,354.87,655.13,655.31,2,3
18,1779942326,200,0.08,0.20,652.63,949.99,950.15,2,2
19,1779942327,200,0.05,0.22,674.30,985.93,986.14,2,2
20,1779942329,200,0.07,0.18,361.79,1196.28,1196.37,2,1
21,1779942331,200,0.05,0.21,359.07,656.27,656.35,2,3
22,1779942332,200,0.05,0.16,634.29,925.47,927.79,2,2
23,1779942333,200,0.05,0.18,395.79,695.93,695.99,2,2
24,1779942335,200,0.27,0.36,343.35,856.15,856.23,2,2
25,1779942336,200,0.05,0.17,366.50,655.52,655.59,2,3
26,1779942337,200,0.05,0.20,346.22,639.03,639.12,2,3
27,1779942339,200,0.04,0.15,341.11,655.26,655.34,2,3
28,1779942341,200,0.05,0.21,662.50,1363.66,1363.74,2,1
29,1779942342,200,0.07,0.17,348.29,918.60,918.68,2,2
30,1779942344,200,0.06,0.21,329.57,923.44,923.52,2,2
