idx,ts_unix,http_code,dns_ms,connect_ms,appconnect_ms,starttransfer_ms,total_ms,size_down,speed_down_bps
1,1779941999,200,0.12,0.43,352.42,877.49,972.93,428448,440369
2,1779942001,200,0.12,0.31,625.55,1202.62,1412.91,428448,303238
3,1779942002,200,0.09,0.24,355.14,656.54,775.83,428448,552244
4,1779942004,200,0.11,0.38,332.58,638.21,955.37,428448,448461
5,1779942006,200,0.07,0.27,343.51,630.69,1251.73,428448,342284
6,1779942008,200,0.13,0.34,636.59,928.69,1534.39,428448,279230
7,1779942010,200,0.13,0.33,349.31,640.14,1518.84,428448,282088
8,1779942012,200,0.10,0.25,588.64,1184.39,1531.73,428448,279715
9,1779942014,200,0.10,0.34,627.50,924.00,1255.32,428448,341305
10,1779942017,200,0.12,0.36,899.10,1202.25,1821.51,428448,235216
11,1779942019,200,0.10,0.27,348.61,644.01,1209.67,428448,354184
12,1779942020,200,0.10,0.25,337.85,637.19,1175.16,428448,364588
13,1779942023,200,0.10,0.26,614.76,1169.09,1462.09,428448,293039
14,1779942025,200,0.12,0.28,327.89,627.47,1675.08,428448,255777
15,1779942028,200,0.10,0.32,913.10,1240.08,2079.27,428448,206056
16,1779942030,200,0.11,0.29,360.91,911.32,1362.60,428448,314434
17,1779942032,200,0.10,0.26,705.61,1009.14,1719.97,428448,249101
18,1779942034,200,0.14,0.41,357.98,659.05,1424.60,428448,300749
19,1779942036,200,0.13,0.39,394.62,737.09,1468.73,428448,291712
20,1779942038,200,0.11,0.35,374.13,692.75,1393.68,428448,307421
21,1779942041,200,0.14,0.41,841.21,1160.68,1795.24,428448,238658
22,1779942043,200,0.09,0.25,447.87,754.60,1532.41,428448,279590
23,1779942045,200,0.10,0.26,364.58,716.81,1329.90,428448,322166
24,1779942047,200,0.09,0.25,356.85,947.36,1525.93,428448,280777
25,1779942050,200,0.11,0.27,371.28,955.53,2096.95,428448,204319
26,1779942052,200,0.12,0.34,397.37,718.42,1407.38,428448,304429
27,1779942054,200,0.10,0.23,373.21,696.03,1613.72,428448,265503
28,1779942057,200,0.10,0.33,385.24,700.25,1687.96,428448,253825
29,1779942058,200,0.13,0.29,365.35,672.58,1245.67,428448,343950
30,1779942061,200,0.09,0.24,738.55,1048.60,2008.50,428448,213317
