idx,ts_unix,http_code,dns_ms,connect_ms,appconnect_ms,starttransfer_ms,total_ms,size_down,speed_down_bps
1,1779941946,200,0.06,0.23,968.24,1524.68,1570.79,132629,84434
2,1779941949,200,0.10,0.28,350.10,677.35,1541.20,132629,86055
3,1779941950,200,0.10,0.26,358.31,1213.04,1288.80,132629,102908
4,1779941953,200,0.12,0.37,356.91,665.59,1543.00,132629,85955
5,1779941955,200,0.15,0.36,724.29,1026.11,1584.49,132629,83704
6,1779941957,200,0.10,0.26,630.64,936.76,1252.05,132629,105929
7,1779941959,200,0.11,0.35,362.96,700.11,1376.69,132629,96339
8,1779941960,200,0.16,0.35,355.91,671.37,990.43,132629,133910
9,1779941962,200,0.10,0.26,359.01,663.55,1269.41,132629,104480
10,1779941965,200,0.12,0.32,672.14,989.03,1897.62,132629,69892
11,1779941967,200,0.10,0.25,367.92,682.36,1272.96,132629,104189
12,1779941970,200,0.11,0.35,983.98,1300.31,2004.31,132629,66172
13,1779941971,200,0.13,0.33,357.49,667.59,1282.01,132629,103454
14,1779941973,200,0.19,0.38,361.34,677.59,1271.12,132629,104340
15,1779941975,200,0.12,0.32,375.64,692.41,993.59,132629,133484
16,1779941976,200,0.05,0.20,388.14,685.30,760.40,132629,174418
17,1779941978,200,0.14,0.43,356.02,664.81,741.49,132629,178867
18,1779941979,200,0.10,0.26,363.43,673.06,724.44,132629,183076
19,1779941981,200,0.12,0.39,373.88,679.62,726.14,132629,182648
20,1779941982,200,0.10,0.26,423.79,725.74,771.88,132629,171825
21,1779941984,200,0.05,0.18,638.62,943.11,986.72,132629,134414
22,1779941985,200,0.09,0.23,381.11,689.72,727.58,132629,182287
23,1779941986,200,0.10,0.25,358.15,671.76,699.32,132629,189654
24,1779941988,200,0.10,0.25,624.82,932.15,1235.89,132629,107314
25,1779941990,200,0.10,0.30,356.58,660.65,965.71,132629,137337
26,1779941991,200,0.08,0.28,380.70,684.49,744.50,132629,178145
27,1779941993,200,0.12,0.30,354.95,667.34,711.81,132629,186326
28,1779941994,200,0.10,0.30,355.92,941.02,974.41,132629,136112
29,1779941996,200,0.10,0.31,347.99,660.48,715.92,132629,185257
30,1779941997,200,0.12,0.38,370.58,676.52,711.28,132629,186463
