idx,http_code,total_ms,t_wall
1,200,2.242492,2
6,200,2.241379,2
4,200,2.244667,2
7,200,2.237937,2
5,200,2.253612,2
2,200,2.285394,2
10,200,2.309995,2
3,200,2.316697,2
9,200,2.312125,2
8,200,2.336376,2
18,200,1.745504,4
17,200,1.761431,4
19,200,1.848836,4
14,200,1.990458,4
20,200,1.993813,4
13,200,2.016500,4
12,200,2.017580,4
16,200,2.029529,4
11,200,2.038606,4
15,200,2.116933,4
28,200,1.878667,6
27,200,1.919728,6
25,200,1.992065,6
29,200,1.988981,6
23,200,1.997268,6
24,200,1.997379,6
26,200,2.157878,7
22,200,2.242045,7
21,200,2.247766,7
30,200,2.248280,7
31,200,1.631840,8
36,200,1.722968,8
39,200,2.225204,9
33,200,2.241587,9
32,200,2.248308,9
34,200,2.248974,9
38,200,2.241653,9
35,200,2.455087,9
40,200,2.459897,9
37,200,2.460004,9
50,200,2.170973,11
47,200,2.172326,11
46,200,2.179782,11
41,200,2.188763,11
45,200,2.201742,11
42,200,2.204409,11
48,200,2.203055,11
44,200,2.330403,11
49,200,2.395528,12
43,200,2.431608,12
55,200,1.885851,14
54,200,1.985477,14
51,200,1.986202,14
59,200,1.979660,14
57,200,1.981554,14
56,200,2.029903,14
60,200,2.031069,14
58,200,2.070140,14
52,200,2.300587,14
53,200,2.613001,14
