conn,event,t_rel_ms,size_or_code
conn0,open,1488.77,0
conn0,subscribe_sent,1488.98,432
conn0,msg,2368.60,9417
conn0,msg,2648.36,610
conn0,msg,2756.15,610
conn0,msg,3135.58,608
conn0,msg,3140.63,606
conn0,msg,3170.97,610
conn0,msg,3262.98,606
conn0,msg,3592.30,610
conn0,msg,4830.55,612
conn0,msg,8164.01,604
conn0,msg,8164.07,610
conn0,msg,8164.09,610
conn0,msg,10030.80,612
conn0,msg,13889.02,614
conn0,msg,20655.81,616
conn0,msg,20693.25,614
conn0,msg,20947.98,616
conn0,msg,23531.06,616
conn0,msg,23531.11,610
conn0,msg,23531.13,610
conn0,msg,23531.14,606
conn0,msg,23881.36,614
conn0,summary,31489.35,22
conn0,reconnect_wait,0,0
conn1,open,1511.71,0
conn1,subscribe_sent,1511.92,432
conn1,msg,2107.76,9367
conn1,msg,3228.12,606
conn1,msg,3228.17,606
conn1,msg,3243.02,606
conn1,msg,3291.85,612
conn1,msg,3470.10,606
conn1,msg,3505.57,606
conn1,msg,3519.64,614
conn1,msg,3851.02,612
conn1,msg,3851.08,612
conn1,msg,3851.11,612
conn1,msg,3851.12,606
conn1,msg,3851.14,614
conn1,msg,3851.16,612
conn1,msg,3851.18,606
conn1,msg,3979.58,614
conn1,msg,4255.91,606
conn1,msg,5992.49,614
conn1,msg,6239.81,606
conn1,msg,6841.09,614
conn1,msg,6841.14,616
conn1,msg,7331.15,616
conn1,msg,9829.66,614
conn1,msg,9864.40,606
conn1,msg,10488.08,616
conn1,msg,30082.32,610
conn1,msg,30202.60,610
conn1,msg,30560.33,618
conn1,summary,31512.21,28
conn1,reconnect_wait,0,0
conn2,open,1235.45,0
conn2,subscribe_sent,1235.66,432
conn2,msg,1776.18,9251
conn2,msg,2051.75,606
conn2,msg,6021.15,612
conn2,msg,6768.10,620
conn2,msg,7802.61,606
conn2,msg,7821.60,610
conn2,msg,11205.42,616
conn2,msg,11864.06,616
conn2,msg,12130.51,614
conn2,msg,12501.32,606
conn2,msg,16342.16,606
conn2,msg,16350.36,608
conn2,msg,27160.95,610
conn2,msg,27285.82,610
conn2,msg,27987.07,618
conn2,msg,30277.33,610
conn2,msg,30278.83,610
conn2,summary,31236.83,17
