concurrency,total_req,success,timeout,err_other,wall_time_s,effective_rps,p50_ms,p95_ms,max_ms,total_bytes,agg_kbps
1,30,30,0,0,147.970,0.20,3865,10892,16357,3480600,188.2
2,30,30,0,0,61.559,0.49,3331,8748,8972,3480600,452.3
4,30,30,0,0,35.209,0.85,3640,5053,12091,3480600,790.8
6,30,30,0,0,23.846,1.26,3506,8973,9471,3480600,1167.7
8,30,30,0,0,17.713,1.69,3338,7172,7258,3480600,1572.0
10,30,30,0,0,13.499,2.22,3692,5592,5648,3480600,2062.7
12,30,30,0,0,10.103,2.97,3238,6827,7085,3480600,2756.1
16,40,40,0,0,15.083,2.65,3265,5510,8171,4640800,2461.5
20,40,40,0,0,8.766,4.56,3463,4661,5428,4640800,4235.3
30,40,40,0,0,9.089,4.40,3238,8702,8751,4640800,4084.8
