ts,host,endpoint,mode,n,code,size_dl,time_total,speed_dl_bps,kbps,gzip
2026-05-28T15:38:36,www.goalserve.com,nba-schedule-large,proxy,1,200,44790,2.590278,44790,358.32,compressed
2026-05-28T15:38:39,www.goalserve.com,nba-schedule-large,proxy,2,200,38260,3.032353,38260,306.08,compressed
2026-05-28T15:38:42,www.goalserve.com,nba-schedule-large,proxy,3,200,40068,2.895507,40068,320.54,compressed
2026-05-28T15:38:45,www.goalserve.com,nba-schedule-large,proxy,4,200,32053,3.619519,32053,256.42,compressed
2026-05-28T15:38:48,www.goalserve.com,nba-schedule-large,proxy,5,200,38389,3.022210,38389,307.11,compressed
2026-05-28T15:38:51,www.goalserve.com,nba-schedule-large,direct,1,200,38483,3.014783,38483,307.86,compressed
2026-05-28T15:38:54,www.goalserve.com,nba-schedule-large,direct,2,200,44806,2.589378,44806,358.45,compressed
2026-05-28T15:38:57,www.goalserve.com,nba-schedule-large,direct,3,200,36504,3.178268,36504,292.03,compressed
2026-05-28T15:39:01,www.goalserve.com,nba-schedule-large,direct,4,200,28254,4.106251,28254,226.03,compressed
2026-05-28T15:39:06,www.goalserve.com,nba-schedule-large,direct,5,200,27090,4.282628,27090,216.72,compressed
2026-05-28T15:39:11,www.goalserve.com,nhl-schedule-large,proxy,1,200,119813,5.014361,119813,958.50,compressed
2026-05-28T15:39:20,www.goalserve.com,nhl-schedule-large,proxy,2,200,64067,9.377489,64067,512.54,compressed
2026-05-28T15:39:31,www.goalserve.com,nhl-schedule-large,proxy,3,200,56650,10.605228,56650,453.20,compressed
2026-05-28T15:39:36,www.goalserve.com,nhl-schedule-large,proxy,4,200,120606,4.981392,120606,964.85,compressed
2026-05-28T15:39:49,www.goalserve.com,nhl-schedule-large,proxy,5,200,45741,13.134355,45741,365.93,compressed
2026-05-28T15:39:53,www.goalserve.com,nhl-schedule-large,direct,1,200,155501,3.863571,155501,1244.01,compressed
2026-05-28T15:39:59,www.goalserve.com,nhl-schedule-large,direct,2,200,110750,5.424713,110750,886.00,compressed
2026-05-28T15:40:16,www.goalserve.com,nhl-schedule-large,direct,3,200,34692,17.317691,34692,277.54,compressed
2026-05-28T15:40:20,www.goalserve.com,nhl-schedule-large,direct,4,200,140327,4.281354,140327,1122.62,compressed
2026-05-28T15:40:28,www.goalserve.com,nhl-schedule-large,direct,5,200,80889,7.427296,80889,647.11,compressed
2026-05-28T15:40:32,www.goalserve.com,racing-uk,proxy,1,200,37569,4.228673,37569,300.55,compressed
2026-05-28T15:40:36,www.goalserve.com,racing-uk,proxy,2,200,40089,3.962911,40089,320.71,compressed
2026-05-28T15:40:40,www.goalserve.com,racing-uk,proxy,3,200,45274,3.509084,45274,362.19,compressed
2026-05-28T15:40:42,www.goalserve.com,racing-uk,proxy,4,200,56439,2.814897,56439,451.51,compressed
2026-05-28T15:40:46,www.goalserve.com,racing-uk,proxy,5,200,45626,3.481952,45626,365.01,compressed
2026-05-28T15:40:49,www.goalserve.com,racing-uk,direct,1,200,49781,3.191391,49781,398.25,compressed
2026-05-28T15:40:53,www.goalserve.com,racing-uk,direct,2,200,45557,3.487251,45557,364.46,compressed
2026-05-28T15:40:56,www.goalserve.com,racing-uk,direct,3,200,49310,3.221868,49310,394.48,compressed
2026-05-28T15:41:00,www.goalserve.com,racing-uk,direct,4,200,44731,3.551625,44731,357.85,compressed
2026-05-28T15:41:07,www.goalserve.com,racing-uk,direct,5,200,20908,7.598416,20908,167.26,compressed
2026-05-28T15:41:11,www.goalserve.com,bsktbl-inplay-small,proxy,1,200,56,3.301125,56,0.45,compressed
2026-05-28T15:41:20,www.goalserve.com,bsktbl-inplay-small,proxy,2,200,19,9.689916,19,0.15,compressed
2026-05-28T15:41:23,www.goalserve.com,bsktbl-inplay-small,proxy,3,200,80,2.303875,80,0.64,compressed
2026-05-28T15:41:28,www.goalserve.com,bsktbl-inplay-small,proxy,4,200,32,5.647589,32,0.26,compressed
2026-05-28T15:41:30,www.goalserve.com,bsktbl-inplay-small,proxy,5,200,92,1.994040,92,0.74,compressed
2026-05-28T15:41:32,www.goalserve.com,bsktbl-inplay-small,direct,1,200,107,1.717136,107,0.86,compressed
2026-05-28T15:41:35,www.goalserve.com,bsktbl-inplay-small,direct,2,200,73,2.505755,73,0.58,compressed
2026-05-28T15:41:37,www.goalserve.com,bsktbl-inplay-small,direct,3,200,88,2.082896,88,0.70,compressed
2026-05-28T15:41:40,www.goalserve.com,bsktbl-inplay-small,direct,4,200,55,3.358128,55,0.44,compressed
2026-05-28T15:41:43,www.goalserve.com,bsktbl-inplay-small,direct,5,200,73,2.513136,73,0.58,compressed
2026-05-28T15:41:50,inplay.goalserve.com,inplay-soccer,proxy,1,000,0,7.480118,0,0.00,compressed
2026-05-28T15:41:58,inplay.goalserve.com,inplay-soccer,proxy,2,000,0,7.478717,0,0.00,compressed
2026-05-28T15:42:05,inplay.goalserve.com,inplay-soccer,proxy,3,000,0,7.482893,0,0.00,compressed
2026-05-28T15:42:13,inplay.goalserve.com,inplay-soccer,proxy,4,000,0,7.495884,0,0.00,compressed
2026-05-28T15:42:21,inplay.goalserve.com,inplay-soccer,proxy,5,000,0,7.607177,0,0.00,compressed
2026-05-28T15:42:28,inplay.goalserve.com,inplay-soccer,direct,1,000,0,7.634268,0,0.00,compressed
2026-05-28T15:42:36,inplay.goalserve.com,inplay-soccer,direct,2,000,0,7.502915,0,0.00,compressed
2026-05-28T15:42:43,inplay.goalserve.com,inplay-soccer,direct,3,000,0,7.565830,0,0.00,compressed
2026-05-28T15:42:51,inplay.goalserve.com,inplay-soccer,direct,4,000,0,7.486282,0,0.00,compressed
2026-05-28T15:42:58,inplay.goalserve.com,inplay-soccer,direct,5,000,0,7.493783,0,0.00,compressed
2026-05-28T15:43:07,oddsfeed.goalserve.com,oddsfeed-inplay,proxy,1,000,0,8.384119,0,0.00,compressed
2026-05-28T15:43:14,oddsfeed.goalserve.com,oddsfeed-inplay,proxy,2,000,0,7.562651,0,0.00,compressed
2026-05-28T15:43:22,oddsfeed.goalserve.com,oddsfeed-inplay,proxy,3,000,0,7.966488,0,0.00,compressed
2026-05-28T15:43:30,oddsfeed.goalserve.com,oddsfeed-inplay,proxy,4,000,0,7.515007,0,0.00,compressed
2026-05-28T15:43:38,oddsfeed.goalserve.com,oddsfeed-inplay,proxy,5,000,0,7.504591,0,0.00,compressed
2026-05-28T15:43:45,oddsfeed.goalserve.com,oddsfeed-inplay,direct,1,000,0,7.503092,0,0.00,compressed
2026-05-28T15:43:53,oddsfeed.goalserve.com,oddsfeed-inplay,direct,2,000,0,7.960372,0,0.00,compressed
2026-05-28T15:44:01,oddsfeed.goalserve.com,oddsfeed-inplay,direct,3,000,0,7.495047,0,0.00,compressed
2026-05-28T15:44:08,oddsfeed.goalserve.com,oddsfeed-inplay,direct,4,000,0,7.507793,0,0.00,compressed
2026-05-28T15:44:16,oddsfeed.goalserve.com,oddsfeed-inplay,direct,5,000,0,7.473252,0,0.00,compressed
