ts,target,size_label,n,code,size_download,time_total,speed_download_bps,mbps
2026-05-28T15:35:32,https://speed.cloudflare.com/__down?bytes=10000000,cf-10MB,1,200,2567895,3.894239,2567895,20.54
2026-05-28T15:35:36,https://speed.cloudflare.com/__down?bytes=10000000,cf-10MB,2,200,3173227,3.151366,3173227,25.39
2026-05-28T15:35:41,https://speed.cloudflare.com/__down?bytes=10000000,cf-10MB,3,200,1890194,5.290462,1890194,15.12
2026-05-28T15:35:46,https://speed.cloudflare.com/__down?bytes=10000000,cf-10MB,4,200,2209957,4.524974,2209957,17.68
2026-05-28T15:35:50,https://speed.cloudflare.com/__down?bytes=10000000,cf-10MB,5,200,2142444,4.667565,2142444,17.14
2026-05-28T15:35:51,https://speed.cloudflare.com/__down?bytes=100000000,cf-100MB,1,403,1,0.765082,1,0.00
2026-05-28T15:35:52,https://speed.cloudflare.com/__down?bytes=100000000,cf-100MB,2,403,1,0.828988,1,0.00
2026-05-28T15:35:53,https://speed.cloudflare.com/__down?bytes=100000000,cf-100MB,3,403,1,0.775487,1,0.00
2026-05-28T15:35:54,https://speed.cloudflare.com/__down?bytes=100000000,cf-100MB,4,403,1,0.779329,1,0.00
2026-05-28T15:35:54,https://speed.cloudflare.com/__down?bytes=100000000,cf-100MB,5,403,1,0.770410,1,0.00
2026-05-28T15:35:55,https://cachefly.cachefly.net/10mb.test,cachefly-10MB,1,200,26,0.892406,26,0.00
2026-05-28T15:35:56,https://cachefly.cachefly.net/10mb.test,cachefly-10MB,2,200,31,0.755370,31,0.00
2026-05-28T15:35:57,https://cachefly.cachefly.net/10mb.test,cachefly-10MB,3,200,21,1.141949,21,0.00
2026-05-28T15:35:58,https://cachefly.cachefly.net/10mb.test,cachefly-10MB,4,200,30,0.780422,30,0.00
2026-05-28T15:35:59,https://cachefly.cachefly.net/10mb.test,cachefly-10MB,5,200,30,0.785507,30,0.00
2026-05-28T15:36:00,https://cachefly.cachefly.net/100mb.test,cachefly-100MB,1,200,19,1.271703,19,0.00
2026-05-28T15:36:29,https://cachefly.cachefly.net/100mb.test,cachefly-100MB,2,200,3608257,29.060450,3608257,28.87
2026-05-28T15:37:00,https://cachefly.cachefly.net/100mb.test,cachefly-100MB,3,200,3418635,30.672358,3418635,27.35
2026-05-28T15:37:01,https://cachefly.cachefly.net/100mb.test,cachefly-100MB,4,200,30,0.824656,30,0.00
2026-05-28T15:37:02,https://cachefly.cachefly.net/100mb.test,cachefly-100MB,5,200,21,1.184772,21,0.00
