endpoint,iter,http,bytes,dns,connect,tls,ttfb,total
bsktbl/inplay,1,200,185,0.000057,0.000208,0.978364,9.989139,9.989370
bsktbl/inplay,2,200,185,0.000053,0.000197,1.106060,9.028894,9.029102
bsktbl/inplay,3,200,185,0.000061,0.000227,1.266347,5.143648,5.143827
bsktbl/inplay,4,200,185,0.000053,0.000208,1.196378,1.752017,1.752302
bsktbl/inplay,5,200,185,0.000056,0.000208,1.119353,2.257362,2.257846
bsktbl/inplay,6,200,185,0.000057,0.000219,1.038463,1.546290,1.546782
bsktbl/inplay,7,200,185,0.000059,0.000226,1.289975,9.890426,9.890892
bsktbl/inplay,8,200,185,0.000054,0.000228,1.275954,8.911665,8.912336
bsktbl/inplay,9,200,185,0.000076,0.000252,1.044427,1.966634,1.967179
bsktbl/inplay,10,200,185,0.000059,0.000229,1.175460,1.696175,1.696605
bsktbl/inplay,11,200,185,0.000056,0.000219,1.163717,1.822641,1.823208
bsktbl/inplay,12,200,185,0.000069,0.000246,1.307896,1.756130,1.756558
bsktbl/inplay,13,200,185,0.000058,0.000221,1.005400,1.507582,1.508134
bsktbl/inplay,14,200,185,0.000063,0.000251,1.020895,1.438803,1.439460
bsktbl/inplay,15,200,185,0.000058,0.000229,1.023471,3.232742,3.233239
bsktbl/inplay,16,200,185,0.000058,0.000234,1.038987,2.182156,2.182479
bsktbl/inplay,17,200,185,0.000058,0.000204,1.548037,10.605335,10.605847
bsktbl/inplay,18,200,185,0.000056,0.000223,1.347277,2.025345,2.025907
bsktbl/inplay,19,200,185,0.000057,0.000196,0.990001,2.040350,2.040872
bsktbl/inplay,20,200,185,0.000057,0.000209,1.358962,1.793705,1.794287
bsktbl/nba-shedule,1,200,130477,0.000056,0.000210,1.100203,2.309098,3.052803
bsktbl/nba-shedule,2,200,130484,0.000057,0.000186,1.145746,3.266779,3.870901
bsktbl/nba-shedule,3,200,130484,0.000056,0.000224,1.012883,3.214017,3.658278
bsktbl/nba-shedule,4,200,130484,0.000057,0.000223,1.037922,8.383684,8.831529
bsktbl/nba-shedule,5,200,130484,0.000053,0.000217,1.992509,3.693159,4.138355
bsktbl/nba-shedule,6,200,130484,0.000058,0.000234,1.012331,2.238296,2.645281
bsktbl/nba-shedule,7,200,130481,0.000050,0.000203,1.013413,2.432688,3.034696
bsktbl/nba-shedule,8,200,130490,0.000057,0.000226,1.009813,1.889104,2.577447
bsktbl/nba-shedule,9,200,130484,0.000055,0.000229,1.295659,3.779096,3.789252
bsktbl/nba-shedule,10,200,130481,0.000059,0.000234,1.011467,2.381429,2.723009
bsktbl/nba-shedule,11,200,130477,0.000057,0.000226,1.043113,2.127668,3.001889
bsktbl/nba-shedule,12,200,130484,0.000060,0.000169,1.463974,3.585985,4.006264
bsktbl/nba-shedule,13,200,130484,0.000057,0.000173,1.528394,2.744592,3.313911
bsktbl/nba-shedule,14,200,130484,0.000063,0.000234,1.353260,2.717045,3.427196
bsktbl/nba-shedule,15,200,130484,0.000056,0.000238,1.048745,7.184831,7.701794
bsktbl/nba-shedule,16,200,130484,0.000056,0.000210,1.112188,2.384809,3.424809
bsktbl/nba-shedule,17,200,130480,0.000055,0.000227,1.099319,3.019751,3.741427
bsktbl/nba-shedule,18,200,130482,0.000055,0.000165,1.019452,4.081871,4.409256
bsktbl/nba-shedule,19,200,130484,0.000054,0.000218,0.995350,2.788538,3.508932
bsktbl/nba-shedule,20,200,130484,0.000058,0.000230,0.981003,2.175319,2.319644
soccer/inplay,1,200,327,0.000057,0.000170,1.219592,2.491615,2.491986
soccer/inplay,2,200,327,0.000055,0.000228,1.113485,1.687938,1.688254
soccer/inplay,3,200,327,0.000055,0.000227,1.303947,1.728018,1.728322
soccer/inplay,4,200,327,0.000055,0.000227,1.053341,1.554381,1.554781
soccer/inplay,5,200,327,0.000058,0.000223,1.028979,1.447545,1.447753
soccer/inplay,6,200,327,0.000057,0.000219,1.611286,3.019916,3.020117
soccer/inplay,7,200,327,0.000053,0.000203,1.259642,2.555215,2.555677
soccer/inplay,8,200,327,0.000055,0.000228,1.012040,3.343272,3.343682
soccer/inplay,9,200,327,0.000056,0.000225,1.085236,2.435623,2.436211
soccer/inplay,10,200,327,0.000060,0.000211,0.992920,6.246574,6.246975
soccer/inplay,11,200,327,0.000055,0.000217,1.297589,1.744609,1.745264
soccer/inplay,12,200,327,0.000060,0.000234,1.322369,1.793060,1.793293
soccer/inplay,13,200,327,0.000052,0.000212,1.277393,4.561700,4.561881
soccer/inplay,14,200,327,0.000049,0.000193,1.629817,8.485704,8.486286
soccer/inplay,15,200,327,0.000058,0.000214,1.649224,5.885577,5.886030
soccer/inplay,16,200,327,0.000053,0.000206,1.790045,2.217826,2.218280
soccer/inplay,17,200,327,0.000056,0.000204,1.189542,1.627480,1.627799
soccer/inplay,18,200,327,0.000051,0.000192,1.022552,2.053866,2.054184
soccer/inplay,19,200,327,0.000049,0.000199,1.027034,2.871571,2.872149
soccer/inplay,20,200,327,0.000058,0.000188,1.069172,1.776822,1.777356
soccernew/inplay,1,200,327,0.000058,0.000185,1.169132,2.748868,2.749376
soccernew/inplay,2,200,327,0.000065,0.000252,1.058179,1.743824,1.744237
soccernew/inplay,3,200,327,0.000053,0.000219,1.443111,1.885533,1.885960
soccernew/inplay,4,200,327,0.000055,0.000206,1.038085,5.427949,5.428152
soccernew/inplay,5,200,327,0.000050,0.000199,1.394394,1.894492,1.894875
soccernew/inplay,6,200,327,0.000054,0.000213,1.042507,1.532747,1.533080
soccernew/inplay,7,200,327,0.000055,0.000216,1.608145,2.754340,2.754787
soccernew/inplay,8,200,327,0.000057,0.000213,1.070408,1.807162,1.807752
soccernew/inplay,9,200,327,0.000057,0.000234,1.205381,1.825267,1.825714
soccernew/inplay,10,200,327,0.000063,0.000256,1.114280,2.515034,2.515388
soccernew/inplay,11,200,327,0.000054,0.000204,1.302507,1.700507,1.701021
soccernew/inplay,12,200,327,0.000059,0.000241,1.440034,2.034747,2.035070
soccernew/inplay,13,200,327,0.000055,0.000215,1.119423,6.549319,6.549828
soccernew/inplay,14,200,327,0.000059,0.000230,1.008465,1.680833,1.681450
soccernew/inplay,15,200,327,0.000058,0.000220,1.050014,1.490567,1.491136
soccernew/inplay,16,200,327,0.000051,0.000214,1.047596,2.102059,2.102410
soccernew/inplay,17,200,327,0.000052,0.000189,1.242737,1.638664,1.639127
soccernew/inplay,18,200,327,0.000061,0.000207,1.238670,2.052442,2.052885
soccernew/inplay,19,200,327,0.000056,0.000209,0.992896,1.472175,1.472533
soccernew/inplay,20,200,327,0.000058,0.000199,0.966922,1.734381,1.734749
soccer/home,1,200,21347,0.000054,0.000225,1.124097,2.407136,2.550225
soccer/home,2,200,21347,0.000062,0.000231,1.332704,5.041743,5.042681
soccer/home,3,200,21343,0.000060,0.000220,1.058928,1.889183,1.889947
soccer/home,4,200,21343,0.000055,0.000220,1.309266,2.464373,2.465600
soccer/home,5,200,21347,0.000058,0.000263,1.326905,3.489110,3.643422
soccer/home,6,200,21340,0.000062,0.000236,1.237110,3.052768,3.210926
soccer/home,7,200,21340,0.000052,0.000212,1.351028,2.786177,2.786964
soccer/home,8,200,21347,0.000057,0.000199,1.335593,2.135649,2.320382
soccer/home,9,200,21343,0.000077,0.000195,1.300986,2.272211,2.424166
soccer/home,10,200,21343,0.000054,0.000212,1.234386,1.777400,2.234492
soccer/home,11,200,21289,0.000056,0.000199,1.350411,2.305434,2.439876
soccer/home,12,200,21289,0.000052,0.000198,1.036861,2.874091,3.038441
soccer/home,13,200,21342,0.000055,0.000209,2.168136,3.046434,3.345345
soccer/home,14,200,21349,0.000054,0.000220,1.277445,2.355274,2.356566
soccer/home,15,200,21349,0.000056,0.000211,1.044944,1.643798,1.784647
soccer/home,16,200,21348,0.000054,0.000216,1.018460,1.847535,1.909991
soccer/home,17,200,21348,0.000050,0.000218,1.290594,1.852266,2.276272
soccer/home,18,200,21345,0.000063,0.000190,0.999787,2.402745,2.403543
soccer/home,19,200,21345,0.000055,0.000205,1.317568,2.096832,2.097463
soccer/home,20,200,21341,0.000051,0.000205,0.997288,7.809123,7.836347
football/nfl-scores,1,200,4341,0.000052,0.000206,1.240065,5.540485,5.540909
